x,y,z,shale5Thickness,shale1Thickness,shale2Thickness,shale3Thickness,shale4Thickness,aquifer1Thickness,aquifer2Thickness,aquifer3Thickness,aquifer4Thickness,reservoirThickness
160000,4335092.494,-822.3174816,110.0174816,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
160000,4350092.494,-822.3174816,110.0174816,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
160000,4402039.405,-822.3174816,110.0174816,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
160000,4485362.734,-822.3174816,110.0174816,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4335092.494,-822.3174816,110.0174816,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4335092.494,-1268.461166,556.1611664,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4335092.494,-1869.316759,1157.016759,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
327013.092,4350092.494,-1807.062883,1094.762883,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
327013.092,4402039.405,-1710.657996,998.357996,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
327013.092,4485362.734,-1331.006126,618.7061264,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
327013.092,4335092.494,-1807.062883,1094.762883,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4500362.734,-855.4126656,143.1126656,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
238815.372,4500362.734,-1268.461166,556.1611664,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
312013.092,4500362.734,-1331.006126,618.7061264,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
327013.092,4500362.734,-1331.006126,618.7061264,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
160000,4500362.734,-822.3174816,110.0174816,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
176742.852,4350092.494,-822.3174816,110.0174816,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
191982.852,4350092.494,-897.9222072,185.6222072,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
207222.852,4350092.494,-995.0482512,282.7482512,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
217720.8147,4350092.494,-1077.377474,365.0774744,198.7,74.4,110.3,118.9,33.2,84.1,31.1,61.6,7
