x,y,shale3Thickness,shale2Thickness,shale1Thickness,aquifer1Thickness,aquifer2Thickness,reservoirThickness
0,0,500,500,500,500,150,250
1500,0,513.8150398,500,500,500,150,250
3000,0,554.4967379,500,500,500,150,250
4500,0,619.7970172,500,500,500,150,250
6000,0,706.1073739,500,500,500,150,250
7500,0,808.6582838,500,500,500,150,250
9000,0,921.7827675,500,500,500,150,250
1060.660172,1060.660172,513.8150398,500,500,500,150,250
2121.320344,2121.320344,554.4967379,500,500,500,150,250
3181.980515,3181.980515,619.7970172,500,500,500,150,250
4242.640687,4242.640687,706.1073739,500,500,500,150,250
5303.300859,5303.300859,808.6582838,500,500,500,150,250
6363.961031,6363.961031,921.7827675,500,500,500,150,250
9.18E-14,1500,513.8150398,500,500,500,150,250
1.84E-13,3000,554.4967379,500,500,500,150,250
2.76E-13,4500,619.7970172,500,500,500,150,250
3.67E-13,6000,706.1073739,500,500,500,150,250
4.59E-13,7500,808.6582838,500,500,500,150,250
5.51E-13,9000,921.7827675,500,500,500,150,250
-1060.660172,1060.660172,513.8150398,500,500,500,150,250
-2121.320344,2121.320344,554.4967379,500,500,500,150,250
-3181.980515,3181.980515,619.7970172,500,500,500,150,250
-4242.640687,4242.640687,706.1073739,500,500,500,150,250
-5303.300859,5303.300859,808.6582838,500,500,500,150,250
-6363.961031,6363.961031,921.7827675,500,500,500,150,250
-1500,1.84E-13,513.8150398,500,500,500,150,250
-3000,3.67E-13,554.4967379,500,500,500,150,250
-4500,5.51E-13,619.7970172,500,500,500,150,250
-6000,7.35E-13,706.1073739,500,500,500,150,250
-7500,9.18E-13,808.6582838,500,500,500,150,250
-9000,1.10E-12,921.7827675,500,500,500,150,250
-1060.660172,-1060.660172,513.8150398,500,500,500,150,250
-2121.320344,-2121.320344,554.4967379,500,500,500,150,250
-3181.980515,-3181.980515,619.7970172,500,500,500,150,250
-4242.640687,-4242.640687,706.1073739,500,500,500,150,250
-5303.300859,-5303.300859,808.6582838,500,500,500,150,250
-6363.961031,-6363.961031,921.7827675,500,500,500,150,250
-2.76E-13,-1500,513.8150398,500,500,500,150,250
-5.51E-13,-3000,554.4967379,500,500,500,150,250
-8.27E-13,-4500,619.7970172,500,500,500,150,250
-1.10E-12,-6000,706.1073739,500,500,500,150,250
-1.38E-12,-7500,808.6582838,500,500,500,150,250
-1.65E-12,-9000,921.7827675,500,500,500,150,250
1060.660172,-1060.660172,513.8150398,500,500,500,150,250
2121.320344,-2121.320344,554.4967379,500,500,500,150,250
3181.980515,-3181.980515,619.7970172,500,500,500,150,250
4242.640687,-4242.640687,706.1073739,500,500,500,150,250
5303.300859,-5303.300859,808.6582838,500,500,500,150,250
6363.961031,-6363.961031,921.7827675,500,500,500,150,250
