x,y,reservoirThickness,shale1Thickness,aquifer1Thickness,shale2Thickness,aquifer2Thickness,shale3Thickness
0,0,40.0,210.0,55.0,165.0,245.0,415.0
1000,0,41.0,215.0,57.5,166.25,244.0,413.75
2000,0,42.0,220.0,60.0,167.5,243.0,412.5
3000,0,43.0,225.0,62.5,168.75,242.0,411.25
4000,0,44.0,230.0,65.0,170.0,241.0,410.0
5000,0,45.0,235.0,67.5,171.25,240.0,408.75
6000,0,46.0,240.0,70.0,172.5,239.0,407.5
7000,0,47.0,245.0,72.5,173.75,238.0,406.25
8000,0,48.0,250.0,75.0,175.0,237.0,405.0
9000,0,49.0,255.0,77.5,176.25,236.0,403.75
10000,0,50.0,260.0,80.0,177.5,235.0,402.5
11000,0,51.0,265.0,82.5,178.75,234.0,401.25
12000,0,52.0,270.0,85.0,180.0,233.0,400.0
13000,0,53.0,275.0,87.5,181.25,232.0,398.75
14000,0,54.0,280.0,90.0,182.5,231.0,397.5
15000,0,55.0,285.0,92.5,183.75,230.0,396.25
16000,0,56.0,290.0,95.0,185.0,229.0,395.0
17000,0,57.0,295.0,97.5,186.25,228.0,393.75
18000,0,58.0,300.0,100.0,187.5,227.0,392.5
19000,0,59.0,305.0,102.5,188.75,226.0,391.25
20000,0,60.0,310.0,105.0,190.0,225.0,390.0
21000,0,61.0,315.0,107.5,191.25,224.0,388.75
22000,0,62.0,320.0,110.0,192.5,223.0,387.5
23000,0,63.0,325.0,112.5,193.75,222.0,386.25
24000,0,64.0,330.0,115.0,195.0,221.0,385.0
25000,0,65.0,335.0,117.5,196.25,220.0,383.75
26000,0,66.0,340.0,120.0,197.5,219.0,382.5
27000,0,67.0,345.0,122.5,198.75,218.0,381.25
28000,0,68.0,350.0,125.0,200.0,217.0,380.0
29000,0,69.0,355.0,127.5,201.25,216.0,378.75
30000,0,70.0,360.0,130.0,202.5,215.0,377.5
31000,0,71.0,365.0,132.5,203.75,214.0,376.25
32000,0,72.0,370.0,135.0,205.0,213.0,375.0
33000,0,73.0,375.0,137.5,206.25,212.0,373.75
34000,0,74.0,380.0,140.0,207.5,211.0,372.5
35000,0,75.0,385.0,142.5,208.75,210.0,371.25
36000,0,76.0,390.0,145.0,210.0,209.0,370.0
37000,0,77.0,395.0,147.5,211.25,208.0,368.75
38000,0,78.0,400.0,150.0,212.5,207.0,367.5
39000,0,79.0,405.0,152.5,213.75,206.0,366.25
40000,0,80.0,410.0,155.0,215.0,205.0,365.0
0,1000,40.5,210.75,55.75,166.0,242.5,410.0
1000,1000,41.5,215.75,58.25,167.25,241.5,408.75
2000,1000,42.5,220.75,60.75,168.5,240.5,407.5
3000,1000,43.5,225.75,63.25,169.75,239.5,406.25
4000,1000,44.5,230.75,65.75,171.0,238.5,405.0
5000,1000,45.5,235.75,68.25,172.25,237.5,403.75
6000,1000,46.5,240.75,70.75,173.5,236.5,402.5
7000,1000,47.5,245.75,73.25,174.75,235.5,401.25
8000,1000,48.5,250.75,75.75,176.0,234.5,400.0
9000,1000,49.5,255.75,78.25,177.25,233.5,398.75
10000,1000,50.5,260.75,80.75,178.5,232.5,397.5
11000,1000,51.5,265.75,83.25,179.75,231.5,396.25
12000,1000,52.5,270.75,85.75,181.0,230.5,395.0
13000,1000,53.5,275.75,88.25,182.25,229.5,393.75
14000,1000,54.5,280.75,90.75,183.5,228.5,392.5
15000,1000,55.5,285.75,93.25,184.75,227.5,391.25
16000,1000,56.5,290.75,95.75,186.0,226.5,390.0
17000,1000,57.5,295.75,98.25,187.25,225.5,388.75
18000,1000,58.5,300.75,100.75,188.5,224.5,387.5
19000,1000,59.5,305.75,103.25,189.75,223.5,386.25
20000,1000,60.5,310.75,105.75,191.0,222.5,385.0
21000,1000,61.5,315.75,108.25,192.25,221.5,383.75
22000,1000,62.5,320.75,110.75,193.5,220.5,382.5
23000,1000,63.5,325.75,113.25,194.75,219.5,381.25
24000,1000,64.5,330.75,115.75,196.0,218.5,380.0
25000,1000,65.5,335.75,118.25,197.25,217.5,378.75
26000,1000,66.5,340.75,120.75,198.5,216.5,377.5
27000,1000,67.5,345.75,123.25,199.75,215.5,376.25
28000,1000,68.5,350.75,125.75,201.0,214.5,375.0
29000,1000,69.5,355.75,128.25,202.25,213.5,373.75
30000,1000,70.5,360.75,130.75,203.5,212.5,372.5
31000,1000,71.5,365.75,133.25,204.75,211.5,371.25
32000,1000,72.5,370.75,135.75,206.0,210.5,370.0
33000,1000,73.5,375.75,138.25,207.25,209.5,368.75
34000,1000,74.5,380.75,140.75,208.5,208.5,367.5
35000,1000,75.5,385.75,143.25,209.75,207.5,366.25
36000,1000,76.5,390.75,145.75,211.0,206.5,365.0
37000,1000,77.5,395.75,148.25,212.25,205.5,363.75
38000,1000,78.5,400.75,150.75,213.5,204.5,362.5
39000,1000,79.5,405.75,153.25,214.75,203.5,361.25
40000,1000,80.5,410.75,155.75,216.0,202.5,360.0
0,2000,41.0,211.5,56.5,167.0,240.0,405.0
1000,2000,42.0,216.5,59.0,168.25,239.0,403.75
2000,2000,43.0,221.5,61.5,169.5,238.0,402.5
3000,2000,44.0,226.5,64.0,170.75,237.0,401.25
4000,2000,45.0,231.5,66.5,172.0,236.0,400.0
5000,2000,46.0,236.5,69.0,173.25,235.0,398.75
6000,2000,47.0,241.5,71.5,174.5,234.0,397.5
7000,2000,48.0,246.5,74.0,175.75,233.0,396.25
8000,2000,49.0,251.5,76.5,177.0,232.0,395.0
9000,2000,50.0,256.5,79.0,178.25,231.0,393.75
10000,2000,51.0,261.5,81.5,179.5,230.0,392.5
11000,2000,52.0,266.5,84.0,180.75,229.0,391.25
12000,2000,53.0,271.5,86.5,182.0,228.0,390.0
13000,2000,54.0,276.5,89.0,183.25,227.0,388.75
14000,2000,55.0,281.5,91.5,184.5,226.0,387.5
15000,2000,56.0,286.5,94.0,185.75,225.0,386.25
16000,2000,57.0,291.5,96.5,187.0,224.0,385.0
17000,2000,58.0,296.5,99.0,188.25,223.0,383.75
18000,2000,59.0,301.5,101.5,189.5,222.0,382.5
19000,2000,60.0,306.5,104.0,190.75,221.0,381.25
20000,2000,61.0,311.5,106.5,192.0,220.0,380.0
21000,2000,62.0,316.5,109.0,193.25,219.0,378.75
22000,2000,63.0,321.5,111.5,194.5,218.0,377.5
23000,2000,64.0,326.5,114.0,195.75,217.0,376.25
24000,2000,65.0,331.5,116.5,197.0,216.0,375.0
25000,2000,66.0,336.5,119.0,198.25,215.0,373.75
26000,2000,67.0,341.5,121.5,199.5,214.0,372.5
27000,2000,68.0,346.5,124.0,200.75,213.0,371.25
28000,2000,69.0,351.5,126.5,202.0,212.0,370.0
29000,2000,70.0,356.5,129.0,203.25,211.0,368.75
30000,2000,71.0,361.5,131.5,204.5,210.0,367.5
31000,2000,72.0,366.5,134.0,205.75,209.0,366.25
32000,2000,73.0,371.5,136.5,207.0,208.0,365.0
33000,2000,74.0,376.5,139.0,208.25,207.0,363.75
34000,2000,75.0,381.5,141.5,209.5,206.0,362.5
35000,2000,76.0,386.5,144.0,210.75,205.0,361.25
36000,2000,77.0,391.5,146.5,212.0,204.0,360.0
37000,2000,78.0,396.5,149.0,213.25,203.0,358.75
38000,2000,79.0,401.5,151.5,214.5,202.0,357.5
39000,2000,80.0,406.5,154.0,215.75,201.0,356.25
40000,2000,81.0,411.5,156.5,217.0,200.0,355.0
0,3000,41.5,212.25,57.25,168.0,237.5,400.0
1000,3000,42.5,217.25,59.75,169.25,236.5,398.75
2000,3000,43.5,222.25,62.25,170.5,235.5,397.5
3000,3000,44.5,227.25,64.75,171.75,234.5,396.25
4000,3000,45.5,232.25,67.25,173.0,233.5,395.0
5000,3000,46.5,237.25,69.75,174.25,232.5,393.75
6000,3000,47.5,242.25,72.25,175.5,231.5,392.5
7000,3000,48.5,247.25,74.75,176.75,230.5,391.25
8000,3000,49.5,252.25,77.25,178.0,229.5,390.0
9000,3000,50.5,257.25,79.75,179.25,228.5,388.75
10000,3000,51.5,262.25,82.25,180.5,227.5,387.5
11000,3000,52.5,267.25,84.75,181.75,226.5,386.25
12000,3000,53.5,272.25,87.25,183.0,225.5,385.0
13000,3000,54.5,277.25,89.75,184.25,224.5,383.75
14000,3000,55.5,282.25,92.25,185.5,223.5,382.5
15000,3000,56.5,287.25,94.75,186.75,222.5,381.25
16000,3000,57.5,292.25,97.25,188.0,221.5,380.0
17000,3000,58.5,297.25,99.75,189.25,220.5,378.75
18000,3000,59.5,302.25,102.25,190.5,219.5,377.5
19000,3000,60.5,307.25,104.75,191.75,218.5,376.25
20000,3000,61.5,312.25,107.25,193.0,217.5,375.0
21000,3000,62.5,317.25,109.75,194.25,216.5,373.75
22000,3000,63.5,322.25,112.25,195.5,215.5,372.5
23000,3000,64.5,327.25,114.75,196.75,214.5,371.25
24000,3000,65.5,332.25,117.25,198.0,213.5,370.0
25000,3000,66.5,337.25,119.75,199.25,212.5,368.75
26000,3000,67.5,342.25,122.25,200.5,211.5,367.5
27000,3000,68.5,347.25,124.75,201.75,210.5,366.25
28000,3000,69.5,352.25,127.25,203.0,209.5,365.0
29000,3000,70.5,357.25,129.75,204.25,208.5,363.75
30000,3000,71.5,362.25,132.25,205.5,207.5,362.5
31000,3000,72.5,367.25,134.75,206.75,206.5,361.25
32000,3000,73.5,372.25,137.25,208.0,205.5,360.0
33000,3000,74.5,377.25,139.75,209.25,204.5,358.75
34000,3000,75.5,382.25,142.25,210.5,203.5,357.5
35000,3000,76.5,387.25,144.75,211.75,202.5,356.25
36000,3000,77.5,392.25,147.25,213.0,201.5,355.0
37000,3000,78.5,397.25,149.75,214.25,200.5,353.75
38000,3000,79.5,402.25,152.25,215.5,199.5,352.5
39000,3000,80.5,407.25,154.75,216.75,198.5,351.25
40000,3000,81.5,412.25,157.25,218.0,197.5,350.0
0,4000,42.0,213.0,58.0,169.0,235.0,395.0
1000,4000,43.0,218.0,60.5,170.25,234.0,393.75
2000,4000,44.0,223.0,63.0,171.5,233.0,392.5
3000,4000,45.0,228.0,65.5,172.75,232.0,391.25
4000,4000,46.0,233.0,68.0,174.0,231.0,390.0
5000,4000,47.0,238.0,70.5,175.25,230.0,388.75
6000,4000,48.0,243.0,73.0,176.5,229.0,387.5
7000,4000,49.0,248.0,75.5,177.75,228.0,386.25
8000,4000,50.0,253.0,78.0,179.0,227.0,385.0
9000,4000,51.0,258.0,80.5,180.25,226.0,383.75
10000,4000,52.0,263.0,83.0,181.5,225.0,382.5
11000,4000,53.0,268.0,85.5,182.75,224.0,381.25
12000,4000,54.0,273.0,88.0,184.0,223.0,380.0
13000,4000,55.0,278.0,90.5,185.25,222.0,378.75
14000,4000,56.0,283.0,93.0,186.5,221.0,377.5
15000,4000,57.0,288.0,95.5,187.75,220.0,376.25
16000,4000,58.0,293.0,98.0,189.0,219.0,375.0
17000,4000,59.0,298.0,100.5,190.25,218.0,373.75
18000,4000,60.0,303.0,103.0,191.5,217.0,372.5
19000,4000,61.0,308.0,105.5,192.75,216.0,371.25
20000,4000,62.0,313.0,108.0,194.0,215.0,370.0
21000,4000,63.0,318.0,110.5,195.25,214.0,368.75
22000,4000,64.0,323.0,113.0,196.5,213.0,367.5
23000,4000,65.0,328.0,115.5,197.75,212.0,366.25
24000,4000,66.0,333.0,118.0,199.0,211.0,365.0
25000,4000,67.0,338.0,120.5,200.25,210.0,363.75
26000,4000,68.0,343.0,123.0,201.5,209.0,362.5
27000,4000,69.0,348.0,125.5,202.75,208.0,361.25
28000,4000,70.0,353.0,128.0,204.0,207.0,360.0
29000,4000,71.0,358.0,130.5,205.25,206.0,358.75
30000,4000,72.0,363.0,133.0,206.5,205.0,357.5
31000,4000,73.0,368.0,135.5,207.75,204.0,356.25
32000,4000,74.0,373.0,138.0,209.0,203.0,355.0
33000,4000,75.0,378.0,140.5,210.25,202.0,353.75
34000,4000,76.0,383.0,143.0,211.5,201.0,352.5
35000,4000,77.0,388.0,145.5,212.75,200.0,351.25
36000,4000,78.0,393.0,148.0,214.0,199.0,350.0
37000,4000,79.0,398.0,150.5,215.25,198.0,348.75
38000,4000,80.0,403.0,153.0,216.5,197.0,347.5
39000,4000,81.0,408.0,155.5,217.75,196.0,346.25
40000,4000,82.0,413.0,158.0,219.0,195.0,345.0
0,5000,42.5,213.75,58.75,170.0,232.5,390.0
1000,5000,43.5,218.75,61.25,171.25,231.5,388.75
