Observation,Time (days),Realization 0,Realization 1,Realization 2,Realization 3,Realization 4,Realization 5,Realization 6,Realization 7,Realization 8,Realization 9,Realization 10,Realization 11,Realization 12,Realization 13,Realization 14,Realization 15,Realization 16,Realization 17,Realization 18,Realization 19,Realization 20,Realization 21,Realization 22,Realization 23,Realization 24,Realization 25,Realization 26,Realization 27,Realization 28,Realization 29,Realization 30,Realization 31,Realization 32,Realization 33,Realization 34,Realization 35,Realization 36,Realization 37,Realization 38,Realization 39,Realization 40,Realization 41,Realization 42,Realization 43,Realization 44,Realization 45,Realization 46,Realization 47,Realization 48,Realization 49
FutureGen2Aquifer1_000.TDS_volume_0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
FutureGen2Aquifer1_000.TDS_volume_1,3.652500000000e+02,8.508399712184e+04,5.684310464731e+04,1.333139155095e+05,1.103862383909e+05,4.509955617769e+04,1.185472247258e+05,1.028064206019e+05,1.424673379018e+05,1.330247088248e+05,1.580243247343e+05,1.332705867083e+05,8.373851339933e+04,1.340320351864e+05,1.079166389150e+05,1.559279184495e+05,9.569309992391e+04,1.069335295679e+05,1.596494866755e+05,1.023619566904e+05,9.554242186952e+04,1.158476784339e+05,1.491654439223e+05,1.648540067861e+05,1.935251360181e+05,1.484330124997e+05,7.446844049306e+04,9.823603408585e+04,1.962601487726e+05,1.218263345881e+05,1.303094728865e+05,7.078742705794e+04,8.133801780451e+04,1.759325262251e+05,7.106479999240e+04,1.993308285580e+05,1.526726503295e+05,8.958870074146e+04,8.310884688772e+04,1.488072715070e+05,1.439857754505e+05,2.358903578663e+05,9.040364109173e+04,1.036399708140e+05,1.422701345021e+05,7.060836029572e+04,2.066162604461e+05,6.313605436545e+04,9.506941175004e+04,1.448341503907e+05,5.268789602450e+04
FutureGen2Aquifer1_000.TDS_volume_2,7.305000000000e+02,1.421635786370e+05,9.454443743695e+04,2.218009647081e+05,1.843233697275e+05,7.514972279409e+04,1.965003092357e+05,1.710691533960e+05,2.362738697569e+05,2.190136124311e+05,2.611585962928e+05,2.207595982903e+05,1.392904016467e+05,2.231632638635e+05,1.798744114660e+05,2.595520142619e+05,1.597664348837e+05,1.779215529468e+05,2.633198892126e+05,1.706223096638e+05,1.595563945474e+05,1.930249016314e+05,2.462775053604e+05,2.727967709612e+05,3.197266212949e+05,2.461208105715e+05,1.239297549800e+05,1.634454186497e+05,3.234080506198e+05,2.029418723555e+05,2.155549357767e+05,1.176879858493e+05,1.358976813938e+05,2.924168390733e+05,1.189948950146e+05,3.300512404216e+05,2.529344679773e+05,1.476347923207e+05,1.378791069982e+05,2.469985908009e+05,2.374686193581e+05,3.901633890357e+05,1.496886691575e+05,1.725547386418e+05,2.353046379181e+05,1.170669574940e+05,3.415061134129e+05,1.048253269301e+05,1.589557994969e+05,2.394742807091e+05,8.822710293743e+04
FutureGen2Aquifer1_000.TDS_volume_3,1.095750000000e+03,1.919551600875e+05,1.273173855108e+05,2.987386149285e+05,2.487889357757e+05,1.013083204626e+05,2.640862490801e+05,2.304287779461e+05,3.176376484903e+05,2.931824552446e+05,3.503736858289e+05,2.965750096954e+05,1.875837310444e+05,3.007055317881e+05,2.425275851631e+05,3.496847697429e+05,2.156258085509e+05,2.396470296202e+05,3.528623153611e+05,2.300578596718e+05,2.153751218461e+05,2.602043048786e+05,3.302204408437e+05,3.662634469112e+05,4.288690463887e+05,3.308387190057e+05,1.669440125919e+05,2.201449731608e+05,4.331516666532e+05,2.735375354563e+05,2.893476930384e+05,1.584445785998e+05,1.834892392297e+05,3.936206137250e+05,1.608739234705e+05,4.432941973825e+05,3.398278466578e+05,1.977368258973e+05,1.853970529860e+05,3.322210651299e+05,3.182076204781e+05,5.236992517753e+05,2.010468008171e+05,2.325075527660e+05,3.158307412407e+05,1.573544128530e+05,4.582020644675e+05,1.410158516575e+05,2.147140579364e+05,3.213715480100e+05,1.192804741231e+05
FutureGen2Aquifer1_000.TDS_volume_4,1.461000000000e+03,2.375352491488e+05,1.572508870499e+05,3.690208618794e+05,3.077834655643e+05,1.252221308526e+05,3.257126127399e+05,2.846574501684e+05,3.918462142350e+05,3.605865177311e+05,4.316028762054e+05,3.656827247398e+05,2.316948612123e+05,3.715663134667e+05,2.998125206513e+05,4.320405732333e+05,2.667410073081e+05,2.960347018232e+05,4.343096150594e+05,2.844018625397e+05,2.664596774559e+05,3.216168657381e+05,4.066126411508e+05,4.514176945416e+05,5.282261690829e+05,4.080992129648e+05,2.062424767794e+05,2.719405923416e+05,5.329288570146e+05,3.380661038405e+05,3.565656682321e+05,1.956623483374e+05,2.270542952033e+05,4.860246240164e+05,1.992513215005e+05,5.464972383185e+05,4.190389543189e+05,2.432896460306e+05,2.287436059496e+05,4.099816329992e+05,3.916449090372e+05,6.453311103753e+05,2.478513618744e+05,2.872935675031e+05,3.891767138805e+05,1.940938085612e+05,5.644587188272e+05,1.740419933750e+05,2.657732504349e+05,3.959555189771e+05,1.477379170782e+05
FutureGen2Aquifer1_000.TDS_volume_5,1.826250000000e+03,2.802196060803e+05,1.852359404083e+05,4.347355208230e+05,3.630172677917e+05,1.475943170849e+05,3.832555849431e+05,3.353645377549e+05,4.611510306683e+05,4.233691512290e+05,5.073673876525e+05,4.301957756693e+05,2.729360254530e+05,4.378401002576e+05,3.534103045864e+05,5.090579288791e+05,3.145953142263e+05,3.487589538175e+05,5.102223128036e+05,3.352487008248e+05,3.142898465646e+05,3.790691127723e+05,4.778401471046e+05,5.308806164194e+05,6.208882334022e+05,4.802492718658e+05,2.429905062204e+05,3.203706061207e+05,6.258947731487e+05,3.984285642239e+05,4.192827592549e+05,2.304521972227e+05,2.678508762217e+05,5.723919995483e+05,2.352188108476e+05,6.428243315564e+05,4.929875034630e+05,2.857333830446e+05,2.692309065230e+05,4.826263563164e+05,4.600901977234e+05,7.588142420246e+05,2.915373742379e+05,3.385325077854e+05,4.576077226040e+05,2.284018809619e+05,6.635714689681e+05,2.048983945784e+05,3.136005050622e+05,4.655340206696e+05,1.744087480106e+05
FutureGen2Aquifer1_000.TDS_volume_6,2.191500000000e+03,3.207297295165e+05,2.117602351035e+05,4.970254989958e+05,4.154279552813e+05,1.688100387041e+05,4.377406964148e+05,3.834310883787e+05,5.267830166694e+05,4.826987628393e+05,5.790436935754e+05,4.912688507712e+05,3.120255024161e+05,5.006737980679e+05,4.042418650506e+05,5.820719785284e+05,3.600018383535e+05,3.987363955707e+05,5.819972289381e+05,3.834718176581e+05,3.596769050820e+05,4.335505523985e+05,5.452051221084e+05,6.060839540878e+05,7.085421587985e+05,5.485719374385e+05,2.778261062751e+05,3.662771341583e+05,7.137699876680e+05,4.556660699464e+05,4.786316400380e+05,2.634220778284e+05,3.065688087349e+05,6.542347263487e+05,2.693755522648e+05,7.340041769331e+05,5.629958458922e+05,3.258533830749e+05,3.075764266269e+05,5.514383094310e+05,5.248034494988e+05,8.661995323821e+05,3.328888886515e+05,3.871112938774e+05,5.223608300367e+05,2.608891022950e+05,7.573395408365e+05,2.341290894360e+05,3.590005416541e+05,5.313672641158e+05,1.997371441731e+05
FutureGen2Aquifer1_000.TDS_volume_7,2.556750000000e+03,3.595168129751e+05,2.371283231976e+05,5.566045846716e+05,4.656017559684e+05,1.891099554064e+05,4.898076974758e+05,4.294073737996e+05,5.895101728262e+05,5.393027215116e+05,6.474896865395e+05,5.496221259753e+05,3.494118545549e+05,5.607838577642e+05,4.528826786494e+05,6.519166936503e+05,4.034689417057e+05,4.465394949299e+05,6.505044051473e+05,4.296170231485e+05,4.031281094851e+05,4.856794472817e+05,6.095189013356e+05,6.779203994510e+05,7.922392213412e+05,6.138676842537e+05,3.111477674322e+05,4.101861166785e+05,7.976258975487e+05,5.104291097085e+05,5.353184547398e+05,2.949515952070e+05,3.436394731203e+05,7.324968080135e+05,3.020964818657e+05,8.211148239801e+05,6.298887647479e+05,3.641386851419e+05,3.442278622262e+05,6.172182436123e+05,5.865694448816e+05,9.687655264419e+05,3.723948522202e+05,4.335839626347e+05,5.842072239586e+05,2.919363280217e+05,8.468843519328e+05,2.620736312617e+05,4.024767017110e+05,5.942407962560e+05,2.240010611204e+05
FutureGen2Aquifer1_000.TDS_volume_8,2.922000000000e+03,3.968874183679e+05,2.615468946164e+05,6.139572402734e+05,5.139369172527e+05,2.086574705144e+05,5.398903941984e+05,4.736668881213e+05,6.498533388257e+05,5.936734111338e+05,7.132866580743e+05,6.057438620737e+05,3.853995139076e+05,6.186566405620e+05,4.997235118274e+05,7.191581769919e+05,4.453419622131e+05,4.925568032261e+05,7.163330706403e+05,4.740549427432e+05,4.449880691976e+05,5.358755793840e+05,6.713310952766e+05,7.469950189494e+05,8.726916883859e+05,6.766793491900e+05,3.432259710867e+05,4.524545226529e+05,8.781879317904e+05,5.631593216188e+05,5.898217841089e+05,3.252983483425e+05,3.793559655742e+05,8.078187990270e+05,3.336364860645e+05,9.048870874066e+05,6.942254617262e+05,4.009204143241e+05,3.794888563971e+05,6.805093253966e+05,6.459196615237e+05,1.067378720127e+06,4.103867235348e+05,4.783266176356e+05,6.436695479849e+05,3.218018268471e+05,9.329657768634e+05,2.889623618400e+05,4.443710372549e+05,6.546869524576e+05,2.473894584504e+05
FutureGen2Aquifer1_000.TDS_volume_9,3.287250000000e+03,4.330621779042e+05,2.851645595155e+05,6.694318168903e+05,5.607200187481e+05,2.275701168837e+05,5.883004667150e+05,5.164781993300e+05,7.081867684433e+05,6.461640911720e+05,7.768519894879e+05,6.599848145454e+05,4.202073713867e+05,6.746419187009e+05,5.450454529321e+05,7.842035252332e+05,4.858693983383e+05,5.370677106024e+05,7.799061272246e+05,5.170521789683e+05,4.855047721815e+05,5.844408857835e+05,7.310362556112e+05,8.137423838289e+05,9.504109502938e+05,7.373969765333e+05,3.742552168886e+05,4.933390311282e+05,9.559766443138e+05,6.141743484026e+05,6.424853281862e+05,3.546475345536e+05,4.139292247647e+05,8.806611906981e+05,3.641790900615e+05,9.858459221676e+05,7.564076667543e+05,4.364361815003e+05,4.135776104865e+05,7.417019224034e+05,7.032355462476e+05,1.162661386887e+06,4.471025936340e+05,5.216097361168e+05,7.011231346082e+05,3.506711687467e+05,1.016129438264e+06,3.149608346824e+05,4.849297582582e+05,7.130880011629e+05,2.700383933593e+05
