Observation,Time (days),Realization 0,Realization 1,Realization 2,Realization 3,Realization 4,Realization 5,Realization 6,Realization 7,Realization 8,Realization 9,Realization 10,Realization 11,Realization 12,Realization 13,Realization 14,Realization 15,Realization 16,Realization 17,Realization 18,Realization 19,Realization 20,Realization 21,Realization 22,Realization 23,Realization 24,Realization 25,Realization 26,Realization 27,Realization 28,Realization 29
MSW1_000.CO2_aquifer1_0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
MSW1_000.CO2_aquifer1_1,3.652500000000e+02,4.758407759586e-13,1.874087324679e-11,3.722382434548e-11,9.733415147942e-13,1.674888259913e-12,1.459757487438e-12,1.151398972879e-12,1.214882589364e-11,1.082219654168e-11,3.183557220106e-12,1.620288203692e-11,6.037097997354e-13,2.640941018730e-12,6.287925466963e-12,3.008897162577e-11,7.729672202968e-12,5.158614534353e-12,3.562897916956e-12,2.223990837333e-11,2.282612621230e-12,1.057275009403e-12,1.460106279022e-11,9.133182852643e-12,5.363255754386e-12,1.849550380054e-12,3.919267118234e-12,7.436639114384e-13,3.885984458528e-13,2.609824903632e-11,6.196586372284e-13
MSW1_000.CO2_aquifer1_2,7.305000000000e+02,1.948888301119e-12,7.675649197908e-11,1.524566199699e-10,3.986488731228e-12,6.859794919210e-12,5.978689585364e-12,4.715753885955e-12,4.975762044720e-11,4.432418030686e-11,1.303880991613e-11,6.636170950968e-11,2.472598031956e-12,1.081643128634e-11,2.575328767765e-11,1.232345945920e-10,3.165821110014e-11,2.112799918542e-11,1.459246542745e-11,9.108739629503e-11,9.348835287541e-12,4.330252895098e-12,5.980118123210e-11,3.740653210275e-11,2.196614274916e-11,7.575153878583e-12,1.605203720027e-11,3.045804332453e-12,1.591572230031e-12,1.068898988560e-10,2.537919257512e-12
MSW1_000.CO2_aquifer1_3,1.095750000000e+03,2.079562027471e-12,8.190304493773e-11,1.626788963276e-10,4.253784367042e-12,7.319746864193e-12,6.379563071497e-12,5.031947036957e-12,5.309388845932e-11,4.729613403074e-11,1.391306724514e-11,7.081128822271e-11,2.638386701566e-12,1.154167725426e-11,2.748005573717e-11,1.314975226301e-10,3.378090659475e-11,2.254463983412e-11,1.557089596863e-11,9.719484201994e-11,9.975678367558e-12,4.620598053292e-12,6.381087393468e-11,3.991465478550e-11,2.343898125377e-11,8.083070922830e-12,1.712833260196e-11,3.250026709709e-12,1.698287773415e-12,1.140569086023e-10,2.708087740938e-12
MSW1_000.CO2_aquifer1_4,1.461000000000e+03,2.214237898039e-12,8.720722137395e-11,1.732142503441e-10,4.529266466295e-12,7.793785757397e-12,6.792714109891e-12,5.357824235593e-12,5.653233635194e-11,5.035910978144e-11,1.481410045338e-11,7.539714418313e-11,2.809252980760e-12,1.228913533044e-11,2.925970952206e-11,1.400135193656e-10,3.596861388428e-11,2.400466793599e-11,1.657929290200e-11,1.034893404852e-10,1.062171977059e-11,4.919835612646e-12,6.794337149570e-11,4.249959374172e-11,2.495692838328e-11,8.606543942391e-12,1.823759170292e-11,3.460503805712e-12,1.808271693745e-12,1.214434223562e-10,2.883467974506e-12
MSW1_000.CO2_aquifer1_5,1.826250000000e+03,2.352915912824e-12,9.266902128815e-11,1.840626820336e-10,4.812935028985e-12,8.281911598830e-12,7.218142700556e-12,5.693385481866e-12,6.007296412539e-11,5.351310755958e-11,1.574190954087e-11,8.011927739143e-11,2.985196869538e-12,1.305880551489e-11,3.109224903239e-11,1.487825848022e-10,3.822133296877e-11,2.550808349107e-11,1.761765622757e-11,1.099708916912e-10,1.128695949666e-11,5.227965573165e-12,7.219867391529e-11,4.516134897164e-11,2.651998413777e-11,9.145572937276e-12,1.937981450315e-11,3.677235620464e-12,1.921523991023e-12,1.290494401189e-10,3.064059958215e-12
MSW1_000.CO2_aquifer1_6,2.191500000000e+03,2.399660140121e-12,9.451003132386e-11,1.877193651842e-10,4.908551250433e-12,8.446444277816e-12,7.361542004178e-12,5.806493180970e-12,6.126640426757e-11,5.457622625033e-11,1.605464634320e-11,8.171096781731e-11,3.044502312742e-12,1.331823840413e-11,3.170994350673e-11,1.517383755288e-10,3.898065745949e-11,2.601484008533e-11,1.796765756987e-11,1.121556295077e-10,1.151119198965e-11,5.331827003091e-12,7.363300958791e-11,4.605854736218e-11,2.704684366657e-11,9.327263552779e-12,1.976482378012e-11,3.750289458356e-12,1.959697966429e-12,1.316132021173e-10,3.124932135739e-12
MSW1_000.CO2_aquifer1_7,2.556750000000e+03,2.446799731540e-12,9.636661268021e-11,1.914069766703e-10,5.004976196842e-12,8.612368579293e-12,7.506154183548e-12,5.920557548494e-12,6.246993856331e-11,5.564833683167e-11,1.637002828307e-11,8.331612080994e-11,3.104309363219e-12,1.357986558478e-11,3.233286246004e-11,1.547191664230e-10,3.974640434025e-11,2.652588284254e-11,1.832061923436e-11,1.143588459052e-10,1.173732104801e-11,5.436566896206e-12,7.507947691603e-11,4.696333428441e-11,2.757815938956e-11,9.510490913130e-12,2.015308947747e-11,3.823961187871e-12,1.998194818502e-12,1.341986484937e-10,3.186319172026e-12
MSW1_000.CO2_aquifer1_8,2.922000000000e+03,2.494334687081e-12,9.823876535675e-11,1.951255164930e-10,5.102209868214e-12,8.779684503261e-12,7.651979238667e-12,6.035578584440e-12,6.368356701268e-11,5.672943930373e-11,1.668805536051e-11,8.493473637091e-11,3.164618020972e-12,1.384368705684e-11,3.296100589234e-11,1.577249574853e-10,4.051857361107e-11,2.704121176271e-11,1.867654122103e-11,1.165805408826e-10,1.196534667173e-11,5.542185252510e-12,7.653807589985e-11,4.787570973838e-11,2.811393130674e-11,9.695255018333e-12,2.054461159520e-11,3.898250809009e-12,2.037014547240e-12,1.368057792478e-10,3.248221067074e-12
MSW1_000.CO2_aquifer1_9,3.287250000000e+03,2.542265006744e-12,1.001264893530e-10,1.988749846529e-10,5.200252264547e-12,8.948392049723e-12,7.799017169536e-12,6.151556288807e-12,6.490728961610e-11,5.781953366657e-11,1.700872757549e-11,8.656681449863e-11,3.225428286000e-12,1.410970282031e-11,3.359437380362e-11,1.607557487162e-10,4.129716527194e-11,2.756082684585e-11,1.903542352990e-11,1.188207144398e-10,1.219526886082e-11,5.648682072005e-12,7.800880653937e-11,4.879567372410e-11,2.865415941813e-11,9.881555868387e-12,2.093939013333e-11,3.973158321770e-12,2.076157152645e-12,1.394345943798e-10,3.310637820886e-12
