Observation,Time (days),Realization 0,Realization 1,Realization 2,Realization 3,Realization 4,Realization 5,Realization 6,Realization 7,Realization 8,Realization 9,Realization 10,Realization 11,Realization 12,Realization 13,Realization 14,Realization 15,Realization 16,Realization 17,Realization 18,Realization 19,Realization 20,Realization 21,Realization 22,Realization 23,Realization 24,Realization 25,Realization 26,Realization 27,Realization 28,Realization 29
MSW1_001.brine_aquifer2_0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
MSW1_001.brine_aquifer2_1,3.652500000000e+02,-5.045742493119e-21,-2.748485071023e-23,-1.240106599340e-23,-4.053105701267e-24,-1.085571213197e-24,-1.480274217251e-21,-3.143992811807e-23,-1.524109837247e-21,-1.508844392655e-24,-8.119011903317e-24,-1.717556280578e-21,-1.416007790062e-23,-6.689650916801e-22,-1.469105524554e-23,-3.020509554692e-21,-3.669659446509e-21,-8.779353709923e-21,-5.868808604406e-22,-1.114583052101e-22,-2.810341626753e-23,-1.189994585044e-20,-8.551104301176e-24,-4.224572014588e-23,-4.504716243555e-24,-2.893585384916e-21,-2.850204740446e-22,-3.687135871003e-24,-1.992554178214e-22,-6.913833353151e-23,-1.505308323647e-22
MSW1_001.brine_aquifer2_2,7.305000000000e+02,-1.302582075615e-20,-7.098660998054e-23,-3.201547610414e-23,-1.047334878602e-23,-2.801645667868e-24,-3.822072500993e-21,-8.119977025331e-23,-3.936969105763e-21,-3.892695766571e-24,-2.098943780937e-23,-4.438511092084e-21,-3.652933820381e-23,-1.728150978358e-21,-3.795834740767e-23,-7.803446192680e-21,-9.466291814037e-21,-2.268243315218e-20,-1.516947276051e-21,-2.880525595415e-22,-7.251076320514e-23,-3.076613736701e-20,-2.207290744781e-23,-1.090057859596e-22,-1.163011469592e-23,-7.472650782711e-21,-7.354751378906e-22,-9.530789426775e-24,-5.143099958953e-22,-1.784398930267e-22,-3.887014981978e-22
MSW1_001.brine_aquifer2_3,1.095750000000e+03,-2.799873639756e-20,-1.526242966439e-22,-6.881859834586e-23,-2.252438856761e-23,-6.021079466713e-24,-8.216282939577e-21,-1.745808594341e-22,-8.465341315713e-21,-8.364292178058e-24,-4.515237059581e-23,-9.545992699267e-21,-7.848813484732e-23,-3.716057385333e-21,-8.163022946257e-23,-1.678042060341e-20,-2.033902362004e-20,-4.877730108665e-20,-3.262925031752e-21,-6.195465797978e-22,-1.558127491632e-22,-6.618655210268e-20,-4.744267415972e-23,-2.342412017527e-22,-2.499991420688e-23,-1.606559961896e-20,-1.580504911716e-21,-2.050105279035e-23,-1.105405444330e-21,-3.834998973002e-22,-8.356254178472e-22
MSW1_001.brine_aquifer2_4,1.461000000000e+03,-4.369303575451e-20,-2.382188849559e-22,-1.073959180672e-22,-3.516323449417e-23,-9.395031395367e-24,-1.282268591761e-20,-2.724868547672e-22,-1.321360712249e-20,-1.304955896130e-23,-7.050077643351e-23,-1.490280622010e-20,-1.224501205001e-22,-5.800587420285e-21,-1.274295584453e-22,-2.619408533710e-20,-3.173052021808e-20,-7.614234591347e-20,-5.094370541723e-21,-9.672387987110e-22,-2.430999618069e-22,-1.033462678726e-19,-7.403325242626e-23,-3.654721576407e-22,-3.901455820405e-23,-2.507449706116e-20,-2.466020013273e-21,-3.200862903800e-23,-1.724924340040e-21,-5.984079918105e-22,-1.304152786424e-21
MSW1_001.brine_aquifer2_5,1.826250000000e+03,-6.004142031432e-20,-3.273970957970e-22,-1.475818730858e-22,-4.833379115978e-23,-1.290920334992e-23,-1.762140174586e-20,-3.744910811106e-22,-1.816095341718e-20,-1.792887320127e-23,-9.692035060992e-23,-2.048512440678e-20,-1.682316877865e-22,-7.972579449874e-21,-1.751537819925e-22,-3.600297115923e-20,-4.359326575482e-20,-1.046568178772e-19,-7.003076102675e-21,-1.329578439001e-21,-3.340055808152e-22,-1.420773192294e-19,-1.017309599954e-22,-5.021459086482e-22,-5.361378510984e-23,-3.446019963398e-20,-3.388283214023e-21,-4.400184778042e-23,-2.370224492032e-21,-8.222511686677e-22,-1.792255491845e-21
MSW1_001.brine_aquifer2_6,2.191500000000e+03,-6.344547976037e-20,-3.459974252140e-22,-1.559508491255e-22,-5.108575707955e-23,-1.364013228242e-23,-1.862123462550e-20,-3.957649340912e-22,-1.919338577651e-20,-1.894248550876e-23,-1.024498711251e-22,-2.165182237129e-20,-1.777398775810e-22,-8.425962957046e-21,-1.851221365396e-22,-3.805096431250e-20,-4.605654861796e-20,-1.106113798035e-19,-7.402305985033e-21,-1.405327796697e-21,-3.528962850011e-22,-1.501856398488e-19,-1.074961527060e-22,-5.305530856680e-22,-5.665458505449e-23,-3.641708842459e-20,-3.580013391847e-21,-4.651078907460e-23,-2.504515143549e-21,-8.688177758143e-22,-1.893982803359e-21
MSW1_001.brine_aquifer2_7,2.556750000000e+03,-6.686373475841e-20,-3.646725731576e-22,-1.643546583045e-22,-5.384839111046e-23,-1.437418584365e-23,-1.962518200640e-20,-4.171245263914e-22,-2.022992849558e-20,-1.996053515886e-23,-1.080000499352e-22,-2.282301634992e-20,-1.872898276996e-22,-8.881141024169e-21,-1.951294041161e-22,-4.010702297687e-20,4.699913572736e-18,-1.165893050288e-19,-7.803047916531e-21,-1.481367257990e-21,-3.718689814174e-22,-1.583240570894e-19,-1.132855659116e-22,-5.590831770777e-22,-5.970798212171e-23,-3.838191690300e-20,-3.772568915393e-21,-4.902919669963e-23,-2.639372098587e-21,-9.155821898329e-22,-1.996126140393e-21
MSW1_001.brine_aquifer2_8,2.922000000000e+03,5.467825555206e-18,-3.834791157457e-22,-1.728183223047e-22,-5.663017350725e-23,-1.511350874922e-23,-2.063625359014e-20,-4.386344706498e-22,-2.127373228486e-20,-2.098598037993e-23,-1.135881680244e-22,-2.400231271892e-20,-1.969092715335e-22,-9.339500567324e-21,-2.052062393637e-22,-4.217742471023e-20,1.611773263257e-17,1.932936341101e-18,-8.206544254487e-21,-1.557931632261e-21,-3.909792354540e-22,-1.665179951494e-19,-1.191163696628e-22,-5.878196542216e-22,-6.278312216763e-23,-4.036061059790e-20,-3.966515299322e-21,-5.156488530888e-23,-2.775195211020e-21,-9.626827079010e-22,-2.098992714965e-21
MSW1_001.brine_aquifer2_9,3.287250000000e+03,1.303844400778e-17,-4.024524284595e-22,-1.813575197366e-22,-5.943641059211e-23,-1.585947534272e-23,-2.165633258491e-20,-4.603351959877e-22,-2.232676870496e-20,-2.202068239070e-23,-1.192250537414e-22,-2.519196939539e-20,-2.066156626304e-22,-9.801909432112e-21,-2.153718461150e-22,-4.426609744822e-20,2.664563315114e-17,8.400446767889e-18,-8.613572717146e-21,-1.635167721592e-21,-4.102616583831e-22,3.116098668504e-18,-1.249993614932e-22,-6.168149270463e-22,-6.588568745596e-23,-4.235687774717e-20,-4.162206939396e-21,-5.412274830513e-23,-2.912234944184e-21,-1.010205611680e-21,-2.202774417491e-21
