Observation,Time (days),Realization 0,Realization 1,Realization 2,Realization 3,Realization 4,Realization 5,Realization 6,Realization 7,Realization 8,Realization 9,Realization 10,Realization 11,Realization 12,Realization 13,Realization 14,Realization 15,Realization 16,Realization 17,Realization 18,Realization 19,Realization 20,Realization 21,Realization 22,Realization 23,Realization 24,Realization 25,Realization 26,Realization 27,Realization 28,Realization 29
MSW1_001.brine_atm_0,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00,0.000000000000e+00
MSW1_001.brine_atm_1,3.652500000000e+02,-3.759271481544e-20,-2.047731300749e-22,-9.239286833368e-23,-3.019729346605e-23,-8.088049112787e-24,-1.102860953758e-20,-2.342395993790e-22,-1.135520327716e-20,-1.124163767795e-23,-6.048981107152e-23,-1.279645205239e-20,-1.054985350269e-22,-4.984045878937e-21,-1.094541424506e-22,-2.250395495010e-20,-2.734037083543e-20,-6.540954580471e-20,-4.372487773052e-21,-8.304073987820e-22,-2.093814829198e-22,-8.865914983180e-20,-6.370909695894e-23,-3.147472674475e-22,-3.356196395311e-23,-2.155832016731e-20,-2.123512188229e-21,-2.747065121393e-23,-1.484530121834e-21,-5.151076328780e-22,-1.121513145850e-21
MSW1_001.brine_atm_2,7.305000000000e+02,-3.858178546296e-20,-2.102588441579e-22,-9.482845172665e-23,-3.102157915629e-23,-8.298391477593e-24,-1.132077640118e-20,-2.405095891132e-22,-1.166109257341e-20,-1.153006494642e-23,-6.216968420621e-23,-1.314663342328e-20,-1.081982389117e-22,-5.118691419254e-21,-1.124308104689e-22,-2.311339141458e-20,-2.803865394266e-20,-6.718415467532e-20,-4.493117523058e-21,-8.531966042577e-22,-2.147734458146e-22,-9.112765100983e-20,-6.537897990983e-23,-3.228699216695e-22,-3.444791637943e-23,-2.213359323535e-20,-2.178439685591e-21,-2.822975110891e-23,-1.523359433311e-21,-5.285300518766e-22,-1.151313697747e-21
MSW1_001.brine_atm_3,1.095750000000e+03,-3.916035458908e-20,-2.134678563646e-22,-9.625315917338e-23,-3.150376422163e-23,-8.421453778808e-24,-1.149168232743e-20,-2.441773239363e-22,-1.184002634267e-20,-1.169880722443e-23,-6.315232139723e-23,-1.335147654011e-20,-1.097775384439e-22,-5.197453954436e-21,-1.141720730057e-22,-2.346988889892e-20,-2.844712138621e-20,-6.822223409544e-20,-4.563681426853e-21,-8.665275153913e-22,-2.179275582327e-22,-9.257163249784e-20,-6.635579925167e-23,-3.276212802055e-22,-3.496621032011e-23,-2.247010729524e-20,-2.210569891653e-21,-2.867380584284e-23,-1.546073401178e-21,-5.363816337700e-22,-1.168745896727e-21
MSW1_001.brine_atm_4,1.461000000000e+03,-3.957085729378e-20,-2.157446321966e-22,-9.726398581581e-23,-3.184588333546e-23,-8.508758494303e-24,-1.161294287034e-20,-2.467796034993e-22,-1.196698186966e-20,-1.181852919275e-23,-6.384953268900e-23,-1.349681479417e-20,-1.108980660560e-22,-5.253336959570e-21,-1.154074784871e-22,-2.372282807627e-20,-2.873693507773e-20,-6.895876236264e-20,-4.613747273063e-21,-8.759858343853e-22,-2.201653594056e-22,-9.359615337116e-20,-6.704887518666e-23,-3.309924772839e-22,-3.533389345766e-23,-2.270886709225e-20,-2.233366788522e-21,-2.898887565579e-23,-1.562188942003e-21,-5.419524215713e-22,-1.181114249645e-21
MSW1_001.brine_atm_5,1.826250000000e+03,-3.988926719310e-20,-2.175105959405e-22,-9.804806425179e-23,-3.211124874841e-23,-8.576464946684e-24,-1.170699934771e-20,-2.487981259925e-22,-1.206545655975e-20,-1.191140523838e-23,-6.439032149143e-23,-1.360954814512e-20,-1.117671689064e-22,-5.296683091375e-21,-1.163657842496e-22,-2.391902251657e-20,-2.896173164229e-20,-6.953005898008e-20,-4.652581219098e-21,-8.833223640634e-22,-2.219011985238e-22,-9.439083370328e-20,-6.758642226381e-23,-3.336074032733e-22,-3.561911597870e-23,-2.289406402267e-20,-2.251049598751e-21,-2.923325613606e-23,-1.574689133300e-21,-5.462733085720e-22,-1.190707882936e-21
MSW1_001.brine_atm_6,2.191500000000e+03,-4.014942681433e-20,-2.189535704476e-22,-9.868874256635e-23,-3.232806840081e-23,-8.631796143614e-24,-1.178384879659e-20,-2.504473136705e-22,-1.214591583614e-20,-1.198727147075e-23,-6.483219453192e-23,-1.370165791100e-20,-1.124773655882e-22,-5.332099494753e-21,-1.171487410240e-22,-2.407932556061e-20,-2.914540449344e-20,-6.999684178276e-20,-4.684311176858e-21,-8.893167455189e-22,-2.233194718237e-22,-9.504013446474e-20,-6.802568220255e-23,-3.357439344275e-22,-3.585216274644e-23,-2.304538036328e-20,-2.265497093192e-21,-2.943293038972e-23,-1.584902712655e-21,-5.498039048572e-22,-1.198546448624e-21
MSW1_001.brine_atm_7,2.556750000000e+03,-4.036938766154e-20,-2.201735438375e-22,-9.923039418540e-23,-3.251139227961e-23,-8.678579293079e-24,-1.184882450834e-20,-2.518417732319e-22,-1.221394325630e-20,-1.205140339716e-23,-6.520576947435e-23,-1.377953554146e-20,-1.130777626928e-22,-5.362043767246e-21,-1.178107432349e-22,-2.421486014717e-20,-2.981577099652e-20,-7.039150179390e-20,-4.711138166877e-21,-8.943848317083e-22,-2.245185897035e-22,-9.558911105172e-20,-6.839702614773e-23,-3.375504259005e-22,-3.604921773537e-23,-2.317331683881e-20,-2.277712702917e-21,-2.960175278641e-23,-1.593537978554e-21,-5.527889545225e-22,-1.205173915608e-21
MSW1_001.brine_atm_8,2.922000000000e+03,-4.159864515546e-20,-2.212303462796e-22,-9.969956920878e-23,-3.267018751464e-23,-8.719107022085e-24,-1.190510914228e-20,-2.530496671892e-22,-1.227287116592e-20,-1.210699343907e-23,-6.552941198667e-23,-1.384699626367e-20,-1.135977945927e-22,-5.387982499886e-21,-1.183841834832e-22,-2.433226454075e-20,-3.119217708167e-20,-7.148153480437e-20,-4.734376825854e-21,-8.987750398610e-22,-2.255573223004e-22,-9.606465533805e-20,-6.871875813755e-23,-3.391151315060e-22,-3.621988286183e-23,-2.328414094916e-20,-2.288293990061e-21,-2.974798171374e-23,-1.601018253480e-21,-5.553746926584e-22,-1.210914850846e-21
MSW1_001.brine_atm_9,3.287250000000e+03,-4.319154938288e-20,-2.221624840467e-22,-1.001134500131e-22,-3.281025346615e-23,-8.754858444828e-24,-1.195475531449e-20,-2.541150484936e-22,-1.232484960539e-20,-1.215601374876e-23,-6.581486253782e-23,-1.390650063340e-20,-1.140565665129e-22,-5.410862128543e-21,-1.188900035608e-22,-2.443582363659e-20,-3.245693094974e-20,-7.414624896093e-20,-4.754874982045e-21,-9.026475333929e-22,-2.264735842418e-22,-9.840341966275e-20,-6.900250154439e-23,-3.404954408749e-22,-3.637041970926e-23,-2.338189442317e-20,-2.297627693684e-21,-2.987698512365e-23,-1.607616384699e-21,-5.576554867506e-22,-1.215978795515e-21
